title,details_url,start_date,end_date,start_time,end_time,venue_text,category,host,location,address,nor_url,si_url,results_url,other_docs,description,contact,organiser,sas_event_id,external_host,external_event_id,is_past
2025 DF95 / IOM Regional Championship,https://www.sailing.org.za/events/294318,2025-05-10,2025-05-11,09:00,16:00,Witbank Yacht Club,Regional Championships,,,,,,,,,,,294318,,,True
Regional Race Officer Workshop,https://www.sailing.org.za/events/284496,2025-05-15,2025-05-15,17:30,19:30,Teams,,,,,,,,,,,,284496,,,True
Double Cape Race,https://www.sailing.org.za/events/278536,2025-05-17,2025-05-18,09:00,09:00,Royal Cape Yacht Club,Keel Boat Event,,,,,,,,,,,278536,,,True
Jonsson Cup,https://www.sailing.org.za/events/230936,2025-05-24,2025-05-24,09:00,16:00,Point Yacht Club,Keel Boat Event,,,,,,,,,,,230936,,,True
SA Sailing Senior Instructor Course-SIMB0525,https://www.sailing.org.za/events/260477,2025-05-26,2025-05-30,21:00,17:00,The Skippers Foundation,Training,,,,,,,,,,,260477,,,True
2025 Dragonflite 95 Radio Championships,https://www.sailing.org.za/events/294317,2025-05-31,2025-06-01,09:00,16:00,Maritzburg Radio Yacht Club,Regional Championships,,,,,,,,,,,294317,,,True
RCYC Ladies Race,https://www.sailing.org.za/events/278535,2025-05-31,2025-05-31,09:00,09:00,Royal Cape Yacht Club,,,,,,,,,,,,278535,,,True
2025 SA Sailing KZN AGM,https://www.sailing.org.za/events/344363,2025-06-02,2025-06-02,18:00,18:00,Teams,Meetings,,,,,,,,,,,344363,,,True
2025 SA Sailing FS AGM,https://www.sailing.org.za/events/298431,2025-06-12,2025-06-12,18:00,19:00,Teams,Meetings,,,,,,,,,,,298431,,,True
TuziTekwini Ocean Race 2025,https://www.revolutionise.com.au/ksyc/events/287122,2025-06-13,2025-06-16,18:00,18:00,King Shaka Yacht Club Regional Championships,National Championships,,,,,,,,,,,,revolutionise,287122,True
J22 CLASS NATIONAL CHAMPIONSHIPS 2025,https://www.sailing.org.za/events/286372,2025-06-14,2025-06-16,09:00,09:00,Lake Deneys Yacht Club,National Championships,,,,,,,,,,,286372,,,True
WC AGM &amp; Colours Awards,https://www.sailing.org.za/events/288394,2025-06-23,2025-06-23,18:00,19:00,Royal Cape Yacht Club,,,,,,,,,,,,288394,,,True
505  and F15 Regional Championships,https://www.sailing.org.za/events/253634,2025-06-27,2025-06-29,08:00,15:00,Point Yacht Club,Regional Championships,,,,,,,,,,,253634,,,True
2025 SA Sailing NR AGM,https://www.sailing.org.za/events/298437,2025-06-28,2025-06-28,18:00,19:00,Victoria Lake Club,Meetings,,,,,,,,,,,298437,,,True
2025 SA Sailing GP AGM,https://www.sailing.org.za/events/298668,2025-06-30,2025-06-30,18:00,19:00,Teams,Regional Championships,,,,,,,,,,,298668,,,True
NW Dinghy Champs,https://www.sailing.org.za/events/283420,2025-07-05,2025-07-06,09:00,09:00,Transvaal Yacht Club,Regional Championships,,,,,,,,,,,283420,,,True
SA Sailing EC Agm,https://www.sailing.org.za/events/298671,2025-07-11,2025-07-11,13:00,14:00,East London Yacht Club,,,,,,,,,,,,298671,,,True
2025 ILCA Class KZN Regional Championship,https://www.laser.org.za/events/299785,2025-07-12,2025-07-13,08:00,17:00,Point Yacht Club Beach Site,Regional Championships,,,,,,,,,,,,laser_org_za,299785,True
RCYC Youth Regatta,https://www.sailing.org.za/events/293413,2025-07-12,2025-07-12,09:00,15:00,Royal Cape Yacht Club,Youth Events,,,,,,,,,,,293413,,,True
Shane&#039;s Gaul Regatta 2025,https://www.sailing.org.za/events/278537,2025-07-18,2025-07-20,09:00,09:00,Gordon's Bay Yacht Club,Keel Boat Event,,,,,,,,,,,278537,,,True
2025 Optimist &amp; Dabchick Regional Championship,https://www.sailing.org.za/events/300805,2025-07-19,2025-07-20,09:00,16:00,Point Yacht Club,Regional Championships,,,,,,,,,,,300805,,,True
Stadt 23 FS Provincials,https://www.sailing.org.za/events/283421,2025-07-19,2025-07-20,09:00,09:00,Details,Regional Championships,,,,,,,,,,,283421,,,True
RCYC Ladies Race,https://www.sailing.org.za/events/293414,2025-08-02,2025-08-02,09:00,15:00,Royal Cape Yacht Club,,,,,,,,,,,,293414,,,True
ORC Double Handed Nationals,https://www.sailing.org.za/events/293415,2025-08-23,2025-08-24,09:00,15:00,Details,National Championships,,,,,,,,,,,293415,,,True
2025 Lipton Challenge Cup,https://www.sailing.org.za/events/293416,2025-08-25,2025-08-30,09:00,16:00,Royal Cape Yacht Club,Keel Boat Event,,,,,,,,,,,293416,,,True
2025 SA Sailing National AGM,https://www.sailing.org.za/events/288037,2025-08-28,2025-08-28,18:00,19:00,Teams,Meetings,,,,,,,,,,,288037,,,True
National Race Officers Workshop,https://www.sailing.org.za/events/299380,2025-09-04,2025-09-04,17:30,19:30,Teams,,,,,,,,,,,,299380,,,True
Dart 18 Nationals,https://www.sailing.org.za/events/306257,2025-09-05,2025-09-07,09:00,09:00,Stilbaai Yacht Club,Regional Championships,,,,,,,,,,,306257,,,True
ILCA NR Regional Championships,https://www.laser.org.za/events/301649,2025-09-06,2025-09-07,09:00,17:00,Aeolians Club,Regional Championships,,,,,,,,,,,,laser_org_za,301649,True
Admirals Regatta,https://www.sailing.org.za/events/278715,2025-09-06,2025-09-07,09:00,09:00,Hout Bay Yacht Club,Keel Boat Event,,,,,,,,,,,278715,,,True
Gauteng Dinghy Champs,https://www.sailing.org.za/events/283422,2025-09-06,2025-09-07,09:00,09:00,Aeolians Sailing Club,Regional Championships,,,,,,,,,,,283422,,,True
ZVYC Cape Classic,https://www.sailing.org.za/events/278716,2025-09-13,2025-09-14,09:00,09:00,Zeekoe Vlei Yacht Club,Dinghy Event,,,,,,,,,,,278716,,,True
SA Sailing Instructors Course - Dinghy endorsement,https://www.sailing.org.za/events/310675,2025-09-19,2025-09-22,09:00,16:00,Milnerton Aquatic Club,Training,,,,,,,,,,,310675,,,True
FBYC Spring Regatta,https://www.sailing.org.za/events/278717,2025-09-19,2025-09-21,09:00,09:00,False Bay Yacht Club,Keel Boat Event,,,,,,,,,,,278717,,,True
2025 Finn National Championships,https://www.sailing.org.za/events/294316,2025-09-24,2025-09-28,09:00,16:00,Pretoria Sailing Club,National Championships,,,,,,,,,,,294316,,,True
Hobie 16 Nationals,https://www.sailing.org.za/events/293424,2025-09-24,2025-09-27,09:00,09:00,Mossel Bay Sailing Club,National Championships,,,,,,,,,,,293424,,,True
2025 Halcat National Championship,https://www.sailing.org.za/events/315076,2025-09-25,2025-09-27,08:00,15:00,Highveld Sailing Club,National Championships,,,,,,,,,,,315076,,,True
Agulas Race,https://www.sailing.org.za/events/278719,2025-09-26,2025-09-28,09:00,09:00,False Bay Yacht Club,Keel Boat Event,,,,,,,,,,,278719,,,True
2025 DART 18 OPEN KZN REGIONAL CHAMPIONSHIPS,https://www.hmyc.org.za/events/303524,2025-09-27,2025-09-28,08:00,17:00,Henley Midmar Yacht Club,Regional Championships,,,,,,,,,,,,www_hmyc_org_za,303524,True
2025 HUNTER KZN REGIONAL CHAMPIONSHIPS,https://www.hmyc.org.za/events/303333,2025-09-27,2025-09-28,08:00,17:00,Henley Midmar Yacht Club Regional Championships,National Championships,,,,,,,,,,,,www_hmyc_org_za,303333,True
420 Nationals,https://www.sailing.org.za/events/315656,2025-10-03,2025-10-05,09:00,09:00,Saldanha Bay Yacht Club,National Championships,,,,,,,,,,,315656,,,True
EC Dinghy Champs,https://www.sailing.org.za/events/304543,2025-10-04,2025-10-06,09:00,09:00,East London Yacht Club,Regional Championships,,,,,,,,,,,304543,,,True
KZNDSAC L2S Learn to Sail Level 2 KSYC,https://www.sailing.org.za/events/321954,2025-10-04,2025-10-05,09:00,09:00,Zululand Yacht Club,Training,,,,,,,,,,,321954,,,True
KZNDSAC L2S Learn to Sail Level 1 KSYC,https://www.sailing.org.za/events/321945,2025-10-04,2025-10-05,09:00,09:00,Zululand Yacht Club,Regional Championships,,,,,,,,,,,321945,,,True
SA Sailing Race Coach Training Program (basic coaching skill understanding),https://www.sailing.org.za/events/310368,2025-10-10,2025-10-12,09:00,16:55,Midland Sail School HMYC,Training,,,,,,,,,,,310368,,,True
DF95 WC Regional Champs,https://www.sailing.org.za/events/310303,2025-10-10,2025-10-12,09:00,09:00,Theewater Sports Club,Regional Championships,,,,,,,,,,,310303,,,True
STC Stadt 23 Ladies Training,https://www.sailing.org.za/events/293426,2025-10-11,2025-10-12,09:00,09:00,Theewater Sports Club,Training,,,,,,,,,,,293426,,,True
The Canyon Cup 2025 ORC DH Nationals,https://www.sailing.org.za/events/283356,2025-10-14,2025-10-19,09:00,09:00,V & A Waterfront,National Championships,,,,,,,,,,,283356,,,True
