title,details_url,start_date,end_date,venue_text,category,host,location,address,nor_url,si_url,results_url,other_docs,description,contact,organiser,sas_event_id,external_host,external_event_id,is_past
Stadt 23 Ladies Champs,https://www.sailing.org.za/events/240658,2024-10-12,2024-10-13,>Stadt 23 Ladies Champs,,,,,,,,,,,,240658,,,True
Tour de Vlei,https://www.sailing.org.za/events/187162,2024-10-12,2024-10-13,>Tour de Vlei,,,,,,,,,,,,187162,,,True
DF95 WC Regionals,https://www.sailing.org.za/events/240660,2024-10-18,2024-10-20,>DF95 WC Regionals,,,,,,,,,,,,240660,,,True
F1 Nationals &amp; 40th Anniversary,https://www.sailing.org.za/events/233772,2024-10-19,2024-10-20,>F1 Nationals &amp; 40th Anniversary,,,,,,,,,,,,233772,,,True
ORC DH Nationals,https://www.sailing.org.za/events/238839,2024-10-19,2024-10-20,>ORC DH Nationals,,,,,,,,,,,,238839,,,True
STILBAAI LONGHAUL,https://www.stilbaaiyachtclub.co.za/events/255768,2024-10-26,2024-12-07,"target=""_blank""",,,,,,,,,,,,,www_stilbaaiyachtclub_co_za,255768,True
Boskop Open Regatta 2024,https://www.revolutionise.com.au/boskopyc/events/257920,2024-10-26,2024-10-27,"target=""_blank""",,,,,,,,,,,,,revolutionise,257920,True
Extra Nationals,https://www.sailing.org.za/events/240659,2024-10-26,2024-10-27,>Extra Nationals,,,,,,,,,,,,240659,,,True
GP 6 - 6 HR Endurance Race,https://www.sailing.org.za/events/253669,2024-10-26,2024-10-26,>GP 6 - 6 HR Endurance Race,,,,,,,,,,,,253669,,,True
Regional Judges Seminar,https://www.sailing.org.za/events/185024,2024-11-01,2024-11-01,>Regional Judges Seminar,,,,,,,,,,,,185024,,,True
East vs West GRRSC,https://www.sailing.org.za/events/240662,2024-11-08,2024-11-08,>East vs West GRRSC,,,,,,,,,,,,240662,,,True
Hobie Tiger NR Provincials,https://www.sailing.org.za/events/248873,2024-11-09,2024-11-10,>Hobie Tiger NR Provincials,,,,,,,,,,,,248873,,,True
Seaport Supply West Coast Offshore 2024,https://www.sailing.org.za/events/265074,2024-11-15,2024-11-16,>Seaport Supply West Coast Offshore 2024,,,,,,,,,,,,265074,,,True
